target,descriptor,model,cv_rmse,cv_cliff_rmse,test_rmse,test_cliff_rmse,cv_stratified
CHEMBL1936,ECFP,KNN,0.5383344419361228,0.6646669974545374,0.5287396336755169,0.6706182190034091,True
CHEMBL1936,MACCS,RF,0.5337671208911993,0.6448620960826831,0.5525057902392904,0.6306486478437392,True
CHEMBL1936,MACCS,SVM,0.5589250338914504,0.697620474491899,0.5637223756791461,0.6787955237348401,True
CHEMBL1936,MACCS,GBM,0.5462121655175108,0.6743407777364178,0.5490222208281539,0.6632986808472107,True
CHEMBL1936,MACCS,KNN,0.6046817307315557,0.7224328778963308,0.5575149847763282,0.5982833824213233,True
CHEMBL1936,PHYSCHEM,RF,0.6083015159274193,0.7452474913220898,0.615579880638822,0.6277189273965408,True
CHEMBL1936,PHYSCHEM,SVM,0.7052277275226767,0.799927015332294,0.6588076503493908,0.7105242424962462,True
CHEMBL1936,PHYSCHEM,GBM,0.6284127497552265,0.7732477449356878,0.6325680520495959,0.7071428333714509,True
CHEMBL1936,PHYSCHEM,KNN,0.6164453487241849,0.7282398105313137,0.62967902829907,0.625809631303953,True
CHEMBL1936,WHIM,RF,0.6811221747930862,0.7848747430756642,0.6469638859551795,0.7230585260796775,True
CHEMBL1936,WHIM,SVM,0.7387890106564106,0.8613449496300025,0.6603767879218829,0.8256628465032171,True
CHEMBL1936,WHIM,GBM,0.6970134133923451,0.8027530319895966,0.6913598645732908,0.7625078531628099,True
CHEMBL1936,WHIM,KNN,0.7108003771147136,0.7704278300271209,0.7551761972386418,0.7343489501712973,True
CHEMBL1978,ECFP,RF,0.8509013402454599,0.763870676854452,0.9565486936309412,1.2662999451119477,True
CHEMBL1978,ECFP,SVM,0.7933191727232863,0.7221765364363549,0.9111647904515756,1.1614418639415816,True
CHEMBL1978,ECFP,GBM,0.7852243072122939,0.7154435968169133,0.8646072654576318,1.1387455780867286,True
CHEMBL1978,ECFP,KNN,0.9448493533777484,0.8146407271099642,0.944692159807072,1.3767860085454493,True
CHEMBL1978,MACCS,RF,0.9452440480622488,0.9733879033558196,1.034008494083387,1.3101835632615526,True
