BindingDB_ID,smiles,value,standard_type
50467984,Cc1ccc2NC(=O)\C(=N/c3ccc(cc3)C(=O)Nc3ccc(cc3)S(N)(=O)=O)c2c1,201.0,Ki (nM)
50712092,C[C@@H]1O[C@@H](Oc2ccc3c(C)cc(=O)oc3c2)[C@H](O)[C@H](O)[C@H]1O,201.0,Ki (nM)
51590991,NS(=O)(=O)c1ccc(CCN(Cc2cccc(OCC(=O)O)c2)S(=O)(=O)c2ccc(Br)cc2)cc1,201.0,Ki (nM)
51365136,Cc1ccc(cc1)C(=O)CSc1nnc(o1)-c1ccc(cc1)S(N)(=O)=O,201.0,Ki (nM)
51115595,COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)NCCCOc3ccc(cc3)S(N)(=O)=O)c2c1,202.0,Ki (nM)
50404336,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](CS)C(O)=O,202.0,Ki (nM)
50404941,NS(=O)(=O)c1ccc(NC(=O)N2CCN(CC2)c2ncccc2C#N)cc1,202.0,Ki (nM)
20738,CC(=O)Nc1ccc(cc1Br)S(N)(=O)=O,203.0,Ki (nM)
50551281,NS(=O)(=O)c1ccc(cc1)-c1nc2scc(-c3cccc(c3)[N+]([O-])=O)n2n1,203.0,Ki (nM)
51223159,OB1OCc2ccc(cc12)\N=C\c1ccc(\C=N\c2ccc3COB(O)c3c2)s1,203.0,Ki (nM)
23299,CO[C@H]1O[C@H](Cn2cc(CNC(=O)c3ccc(cc3)S(N)(=O)=O)nn2)[C@@H](O)[C@H](O)[C@H]1O,204.0,Ki (nM)
51449624,NS(=O)(=O)c1ccc2N(Cc3c(F)cccc3Cl)C(=O)C(=O)c2c1,204.0,Ki (nM)
50824028,CCCCNc1nc(NCCCC)nc(NCCc2ccc(cc2)S(N)(=O)=O)n1,204.0,Ki (nM)
51228753,NS(=O)(=O)c1ccc(cc1)-n1nnc(-c2nnc(SCC(=O)c3ccc(cc3)[N+]([O-])=O)[nH]2)c1-c1ccccc1,204.0,Ki (nM)
51099881,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCN(C[C@H]1Cc1ccccc1)C(=O)c1ccccc1,205.0,Ki (nM)
50742946,CCCc1cc(cc(CCC)[n+]1CCc1ccc(cc1)S(N)(=O)=O)-c1ccccc1,205.0,Ki (nM)
51313147,COc1ccc(cc1)C(=O)Nc1ccc2C(=O)NS(=O)(=O)c2c1,205.0,Ki (nM)
51335993,CCn1c(cs\c1=N\c1ccc(cc1)S(N)(=O)=O)-c1ccc(OC)cc1,205.0,Ki (nM)
51313058,COc1ccc(cc1)C(=O)Nc1ccc2C(=O)NS(=O)(=O)c2c1,205.0,Ki (nM)
51363097,NS(=O)(=O)c1ccc(cc1)-n1cc(-c2ccc(Cl)cc2)c2c(N\N=C\c3ccccc3O)ncnc12,206.0,Ki (nM)
51135538,NS(=O)(=O)c1ccc(O)c(NC(=O)Nc2ccc(Cl)cc2)c1,206.0,Ki (nM)
50605700,CN1CCN(CCNC(=O)c2cc(-c3ccc(cc3)-c3ccccc3)n(c2C)-c2ccc(cc2)S(N)(=O)=O)CC1,207.0,Ki (nM)
51498446,Cc1nn(cc1\C=N\Nc1nc(Nc2ccccc2)nc(Nc2ccc(cc2)S(N)(=O)=O)n1)-c1ccccc1,207.0,Ki (nM)
50551286,NS(=O)(=O)c1ccc(cc1)-c1nn2cc(nc2s1)-c1ccccc1,208.0,Ki (nM)
51421333,CCCC[Se]CC(O)C[Se]c1ccc(cc1)S(N)(=O)=O,208.0,Ki (nM)
50834416,C[C@]12CC[C@H]3[C@@H](CCc4cc(CS(N)(=O)=O)ccc34)[C@@H]1CCC2=O,208.0,Ki (nM)
50746542,COn1c(=O)[nH]c2cc(Cl)ccc2c1=O,208.0,Ki (nM)
50467982,NS(=O)(=O)c1ccc(NC(=O)c2ccc(cc2)\N=C2/C(=O)Nc3ccc(Br)cc23)cc1,208.0,Ki (nM)
51201088,NS(=O)(=O)c1ccc(Nc2nc(F)nc(NCCO)n2)cc1,208.0,Ki (nM)
50467340,CC(C)c1ccccc1-c1ccc(cc1)S(N)(=O)=O,208.0,Ki (nM)
50760756,CCCN1C(=O)c2ccccc2S1(=O)=O,209.0,Ki (nM)
20739,CC(=O)Nc1ccc(cc1I)S(N)(=O)=O,209.0,Ki (nM)
50943113,COc1cc2CCN=C(c3ccc(cc3)S(N)(=O)=O)c2cc1OC,210.0,Ki (nM)
