smiles,standard_type,value,units,bindingdb_id,data_validity_comment,activity_comment,warning_flag,CuratedSmiles,IsSalt,FailedSanit,Neutralized
OC[C@H]1[C@@H]2Cn3c(cccc3=O)[C@@H]2N(Cc2ccc(Oc3ccccc3)cc2)[C@@H]1C(=O)N1CCC(CC1)c1ccc(F)cc1,Ki, 6800,nM,50456499,,,False,O=C([C@@H]1[C@@H](CO)[C@@H]2Cn3c(cccc3=O)[C@@H]2N1Cc1ccc(Oc2ccccc2)cc1)N1CCC(c2ccc(F)cc2)CC1,False,False,False
CC(C)Oc1ccc(cc1)-c1cc(nn1-c1ccccc1)C(O)=O,Ki, 7000,nM,51218883,,,False,CC(C)Oc1ccc(-c2cc(C(=O)O)nn2-c2ccccc2)cc1,False,False,False
Cc1nn(C)c(C)c1-c1cccc2c(CCCOc3cc(C)c(Cl)c(C)c3)c(C)n(CCC(O)=O)c12,Ki, 7100,nM,1014245,,,False,Cc1cc(OCCCc2c(C)n(CCC(=O)O)c3c(-c4c(C)nn(C)c4C)cccc23)cc(C)c1Cl,False,False,False
OC(=O)c1c(CCCOc2cccc3ccccc23)c2cccc3CCCn1c23,Ki, 7300,nM,50337253,,,False,O=C(O)c1c(CCCOc2cccc3ccccc23)c2cccc3c2n1CCC3,False,False,False
Cc1cc(OCCCc2c(C(O)=O)n(C)c3ccccc23)cc(C)c1Cl,Ki, 7400,nM,51040891,,,False,Cc1cc(OCCCc2c(C(=O)O)n(C)c3ccccc23)cc(C)c1Cl,False,False,False
CC(C)C[C@H](N1C(=S)S\C(=C/c2ccc(Br)cc2)C1=O)C(O)=O,Ki, 7430,nM,50847244,,,False,CC(C)C[C@@H](C(=O)O)N1C(=O)/C(=C/c2ccc(Br)cc2)SC1=S,False,False,False
OC(=O)CSc1cc(NS(=O)(=O)c2ccc(Oc3ccccc3)cc2)c2ccccc2c1O,Ki, 7560,nM,50095221,,,False,O=C(O)CSc1cc(NS(=O)(=O)c2ccc(Oc3ccccc3)cc2)c2ccccc2c1O,False,False,False
Cc1cccc(C)c1N1C(=S)S\C(=C/c2ccc(OCC(=O)Nc3ccc(cc3)C(O)=O)cc2)C1=O,Ki, 7600,nM,50429775,,,False,Cc1cccc(C)c1N1C(=O)/C(=C/c2ccc(OCC(=O)Nc3ccc(C(=O)O)cc3)cc2)SC1=S,False,False,False
OC[C@@H]1[C@H]2Cn3c(cccc3=O)[C@H]2N(CC2CCCCC2)[C@H]1C(=O)N[C@@H]1CCN(Cc2ccccc2)C1,Ki, 7800,nM,50456509,,,False,O=C(N[C@@H]1CCN(Cc2ccccc2)C1)[C@H]1[C@H](CO)[C@H]2Cn3c(cccc3=O)[C@H]2N1CC1CCCCC1,False,False,False
OC(=O)CSc1cc(NS(=O)(=O)c2cccc(c2)-c2ccccc2)c2ccccc2c1O,Ki, 7850,nM,50095211,,,False,O=C(O)CSc1cc(NS(=O)(=O)c2cccc(-c3ccccc3)c2)c2ccccc2c1O,False,False,False
Cc1nn(C)c(C)c1-c1cccc2c(CCCOc3cc(C)c(Cl)c(C)c3)c([nH]c12)C(=O)NCc1cc(ccn1)C(O)=O,Ki, 7900,nM,1126614,,,False,Cc1cc(OCCCc2c(C(=O)NCc3cc(C(=O)O)ccn3)[nH]c3c(-c4c(C)nn(C)c4C)cccc23)cc(C)c1Cl,False,False,False
