BindingDB_ID,smiles,value,standard_type,CuratedSmiles,IsSalt,FailedSanit,Neutralized
51228799,NS(=O)(=O)c1ccc(cc1)-n1nnc(-c2nnc(SCC(=O)c3cccc(c3)[N+]([O-])=O)[nH]2)c1-c1ccccc1,192.0,Ki (nM),NS(=O)(=O)c1ccc(-n2nnc(-c3nnc(SCC(=O)c4cccc([N+](=O)[O-])c4)[nH]3)c2-c2ccccc2)cc1,False,False,False
50279607,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc1ccccc1[N+]([O-])=O,192.0,Ki (nM),CCCN(CCC)S(=O)(=O)c1ccc(C(=O)Nc2ccccc2[N+](=O)[O-])cc1,False,False,False
51532761,NS(=O)(=O)c1ccc(nc1)N1CC[C@H](C1)NC(=O)Nc1ccc2OCCOc2c1,192.0,Ki (nM),NS(=O)(=O)c1ccc(N2CC[C@@H](NC(=O)Nc3ccc4c(c3)OCCO4)C2)nc1,False,False,False
50467993,NS(=O)(=O)c1ccc(NC(=O)Nc2ccc(cc2)\N=C2/C(=O)Nc3ccc(Br)cc23)cc1,192.0,Ki (nM),NS(=O)(=O)c1ccc(NC(=O)Nc2ccc(/N=C3\C(=O)Nc4ccc(Br)cc43)cc2)cc1,False,False,False
51228918,O=Cc1cccc(OCc2cn(CCCOc3ccc4ccc(=O)oc4c3)nn2)c1,192.0,Ki (nM),O=Cc1cccc(OCc2cn(CCCOc3ccc4ccc(=O)oc4c3)nn2)c1,False,False,False
50383269,NS(=O)(=O)c1ccc(cc1)\N=c1/scc(-c2cccc(c2)[N+]([O-])=O)n1C1CCCCC1,193.0,Ki (nM),NS(=O)(=O)c1ccc(/N=c2\scc(-c3cccc([N+](=O)[O-])c3)n2C2CCCCC2)cc1,False,False,False
18953,CC(=O)NC1CCc2cc(ccc12)S(N)(=O)=O,193.0,Ki (nM),CC(=O)NC1CCc2cc(S(N)(=O)=O)ccc21,False,False,False
51532795,NS(=O)(=O)c1cccc(NC(=O)N[C@H]2CCN(C2)c2cccc(n2)[N+]([O-])=O)c1,193.0,Ki (nM),NS(=O)(=O)c1cccc(NC(=O)N[C@H]2CCN(c3cccc([N+](=O)[O-])n3)C2)c1,False,False,False
51421338,C[C@@H](CSCC(O)CSc1ccc(cc1)S(N)(=O)=O)NS(=O)(=O)c1ccc(C)cc1,193.0,Ki (nM),Cc1ccc(S(=O)(=O)N[C@@H](C)CSCC(O)CSc2ccc(S(N)(=O)=O)cc2)cc1,False,False,False
50241170,NS(=O)(=O)c1ccc(CC\N=C\c2ccc(o2)S([O-])(=O)=O)cc1,193.0,Ki (nM),NS(=O)(=O)c1ccc(CC/N=C/c2ccc(S(=O)(=O)O)o2)cc1,False,False,True
50467981,NS(=O)(=O)c1ccc(NC(=O)c2ccc(cc2)\N=C2/C(=O)Nc3ccc(Cl)cc23)cc1,194.0,Ki (nM),NS(=O)(=O)c1ccc(NC(=O)c2ccc(/N=C3\C(=O)Nc4ccc(Cl)cc43)cc2)cc1,False,False,False
50834470,Cc1cc(=O)oc2cc(ccc12)C(F)(F)S(N)(=O)=O,195.0,Ki (nM),Cc1cc(=O)oc2cc(C(F)(F)S(N)(=O)=O)ccc12,False,False,False
51449621,NS(=O)(=O)c1ccc2N(Cc3c(F)c(F)c(F)c(F)c3F)C(=O)C(=O)c2c1,195.0,Ki (nM),NS(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1c(F)c(F)c(F)c(F)c1F,False,False,False
20737,CC(=O)Nc1ccc(cc1Cl)S(N)(=O)=O,196.0,Ki (nM),CC(=O)Nc1ccc(S(N)(=O)=O)cc1Cl,False,False,False
50463127,CC1=CC(OCC(=O)c2ccc(Br)cc2)=NS(=O)(=O)O1,196.0,Ki (nM),CC1=CC(OCC(=O)c2ccc(Br)cc2)=NS(=O)(=O)O1,False,False,False
51229003,Brc1ccc(OCc2cn(CCCOc3ccc4ccc(=O)oc4c3)nn2)c(C=O)c1,196.0,Ki (nM),O=Cc1cc(Br)ccc1OCc1cn(CCCOc2ccc3ccc(=O)oc3c2)nn1,False,False,False
50824679,CC1CCN(CCC(=O)Nc2ccc(cc2)S(N)(=O)=O)CC1,197.0,Ki (nM),CC1CCN(CCC(=O)Nc2ccc(S(N)(=O)=O)cc2)CC1,False,False,False
50241162,NS(=O)(=O)c1ccc(cc1)\N=C\c1csc2ccccc12,197.0,Ki (nM),NS(=O)(=O)c1ccc(/N=C/c2csc3ccccc23)cc1,False,False,False
51144584,Cc1ccc2NC(=O)C(=NNC(=O)c3ccc(cc3)S(N)(=O)=O)c2c1,197.0,Ki (nM),Cc1ccc2c(c1)C(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)N2,False,False,False
50824048,NS(=O)(=O)c1ccc(CNc2nc(Oc3ccccc3)nc(Oc3ccccc3)n2)cc1,197.0,Ki (nM),NS(=O)(=O)c1ccc(CNc2nc(Oc3ccccc3)nc(Oc3ccccc3)n2)cc1,False,False,False
