BindingDB_ID,smiles,value,standard_type,CuratedSmiles,IsSalt,FailedSanit
51611609,O=C1N[C@@H]2C[C@@H](S(=O)(=O)NCCC3CCN(Cc4ccccc4)CC3)[C@@H]2c2c(Cl)cccc21,128.0,Ki (nM),O=C1N[C@@H]2C[C@@H](S(=O)(=O)NCCC3CCN(Cc4ccccc4)CC3)[C@@H]2c2c(Cl)cccc21,False,False
51271860,Cc1ccc2oc(cc(=O)c2c1)-c1ccc(OCCCCCCN2CCCCC2)cc1,129.0,Ki (nM),Cc1ccc2oc(-c3ccc(OCCCCCCN4CCCCC4)cc3)cc(=O)c2c1,False,False
51271859,Cc1ccc2oc(cc(=O)c2c1)-c1ccc(OCCCCCCN2CCCCC2)cc1,129.0,Ki (nM),Cc1ccc2oc(-c3ccc(OCCCCCCN4CCCCC4)cc3)cc(=O)c2c1,False,False
15315,CN(CCCCSc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,130.0,Ki (nM),CN(CCCCSc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,False,False
50294858,CCCCNC(=O)OCCCCCCCCCCCCCCCCO,130.0,Ki (nM),CCCCNC(=O)OCCCCCCCCCCCCCCCCO,False,False
50870815,CO\N=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,130.0,Ki (nM),CO/N=C\c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,False,False
50431864,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCNc1c2CCCCc2nc2ccccc12,130.0,Ki (nM),CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2,False,False
51188742,CSc1cccc(c1)\N=C1/NC(=O)C(CC(=O)Nc2ccc(F)c(F)c2)S1,130.0,Ki (nM),CSc1cccc(/N=C2\NC(=O)C(CC(=O)Nc3ccc(F)c(F)c3)S2)c1,False,False
50021335,COc1cc(CNC2C3N(Cc4cc(OC)cc(OC)c4)C4C(N(Cc5cc(OC)cc(OC)c5)C5(CC5N3Cc3cc(OC)cc(OC)c3)N4Cc3cc(OC)cc(OC)c3)N2Cc2cc(OC)cc(OC)c2)cc(OC)c1,130.0,Ki (nM),COc1cc(CNC2C3N(Cc4cc(OC)cc(OC)c4)C4C(N2Cc2cc(OC)cc(OC)c2)N(Cc2cc(OC)cc(OC)c2)C2(CC2N3Cc2cc(OC)cc(OC)c2)N4Cc2cc(OC)cc(OC)c2)cc(OC)c1,False,False
51261680,C(CCNc1c2CCCCc2nc2ccccc12)CCOCCc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,130.0,Ki (nM),c1ccc(COc2ccc(CCOCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2OCc2ccccc2)cc1,False,False
17711,c1ccc2c(c1)c(c3c(n2)CCCC3)N,137.0,Ki (nM),Nc1c2c(nc3ccccc13)CCCC2,False,False
51188822,COc1cc2CC(Oc3cccc(c3)C(C)N3CCCC3)C(=O)c2cc1OC,138.0,Ki (nM),COc1cc2c(cc1OC)C(=O)C(Oc1cccc(C(C)N3CCCC3)c1)C2,False,False
50564487,C(c1ccc2ccc(C[n+]3ccccc3)cc2c1)[n+]1ccccc1,140.0,Ki (nM),c1cc[n+](Cc2ccc3ccc(C[n+]4ccccc4)cc3c2)cc1,False,False
51261668,Oc1ccc(CCOCCCCCNc2c3CCCCc3nc3ccccc23)cc1,140.0,Ki (nM),Oc1ccc(CCOCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,False,False
51553657,CC[N+](CC)(CCCCCn1c(C)cc(=O)n(CCCCC[N+](CC)(CC)Cc2ccccc2)c1=O)Cc1ccccc1,140.0,Ki (nM),CC[N+](CC)(CCCCCn1c(C)cc(=O)n(CCCCC[N+](CC)(CC)Cc2ccccc2)c1=O)Cc1ccccc1,False,False
50564488,C(c1ccc2ccc(C[n+]3ccccc3)cc2c1)[n+]1ccccc1,140.0,Ki (nM),c1cc[n+](Cc2ccc3ccc(C[n+]4ccccc4)cc3c2)cc1,False,False
51215280,CO[P@]1(=O)OC[C@H]2COC(=O)C2=C(C)O1,140.0,Ki (nM),CO[P@]1(=O)OC[C@H]2COC(=O)C2=C(C)O1,False,False
51095876,CCN(CCCCOc1ccc(cc1)-c1coc2cc(OCCCCN(CC)Cc3ccccc3OC)cc(O)c2c1=O)Cc1ccccc1OC,140.0,Ki (nM),CCN(CCCCOc1ccc(-c2coc3cc(OCCCCN(CC)Cc4ccccc4OC)cc(O)c3c2=O)cc1)Cc1ccccc1OC,False,False
51102542,Nc1c2CCCCc2nc2NC(=S)NC(c3cccc(Br)c3)c12,147.0,Ki (nM),Nc1c2c(nc3c1C(c1cccc(Br)c1)NC(=S)N3)CCCC2,False,False
51414130,Cc1ccc(cc1)S(=O)(=O)SCc1ccc(cc1)C(F)(F)F,148.0,Ki (nM),Cc1ccc(S(=O)(=O)SCc2ccc(C(F)(F)F)cc2)cc1,False,False
50706633,CN(CC#C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,149.0,Ki (nM),C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,False,False
50811169,Clc1cc(Cl)c2c(NCCCCCCCNc3c4CCCCc4nc4cc(Cl)cc(Cl)c34)c3CCCCc3nc2c1,150.0,Ki (nM),Clc1cc(Cl)c2c(NCCCCCCCNc3c4c(nc5cc(Cl)cc(Cl)c35)CCCC4)c3c(nc2c1)CCCC3,False,False
50294857,CCCCNC(=O)OCCCCCCCCOC(=O)NCCCC,150.0,Ki (nM),CCCCNC(=O)OCCCCCCCCOC(=O)NCCCC,False,False
