smiles,standard_type,value,units,bindingdb_id,data_validity_comment,activity_comment,warning_flag
CN1CCC(CC1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1Oc1cccc2[nH]cnc12)N1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1 |t:49|,Ki, 0.004,nM,325121,,,False
"COC1CCC(CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2ccc(cc2Oc2cnc(N)c(Cl)c2)N2CCN(CC3=C(CC(C)(C)CC3)c3ccc(Cl)cc3)CC2)CC1 |t:46,(-11.47,3.54,;-10.7,2.21,;-9.16,2.21,;-8.39,.88,;-6.85,.88,;-6.08,2.21,;-4.54,2.21,;-3.77,3.54,;-2.23,3.54,;-1.46,2.21,;.08,2.21,;.85,3.54,;.08,4.88,;-1.46,4.88,;-2.23,6.21,;-1.46,7.54,;-3.77,6.21,;2.39,3.54,;2.39,5.08,;3.93,3.54,;2.39,2,;3.72,1.23,;5.06,2,;3.72,-.31,;5.06,-1.08,;5.06,-2.62,;3.72,-3.39,;2.39,-2.62,;2.39,-1.08,;1.06,-.31,;-.28,-1.08,;-1.61,-.31,;-2.94,-1.08,;-2.94,-2.62,;-4.28,-3.39,;-1.61,-3.39,;-1.61,-4.93,;-.28,-2.62,;3.72,-4.93,;5.06,-5.7,;5.06,-7.24,;3.72,-8.01,;3.72,-9.55,;5.06,-10.32,;5.06,-11.86,;6.39,-12.63,;7.73,-11.86,;8.54,-13.16,;9.26,-11.91,;7.73,-10.32,;6.39,-9.55,;3.72,-12.63,;3.72,-14.17,;2.39,-14.94,;1.06,-14.17,;-.28,-14.94,;1.06,-12.63,;2.39,-11.86,;2.39,-7.24,;2.39,-5.7,;-6.85,3.54,;-8.39,3.54,)|",Ki, 0.005,nM,281668,,,False
CN(C)CCOc1ccc(c(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC4CCN(C)CC4)c(c3)[N+]([O-])=O)c(Oc3cccc(Cl)c3)c2)c1)-c1ccc(Cl)cc1,Ki, 0.005,nM,387616,,,False
COC1CCC(CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2ccc(cc2Oc2cnc(N)c(Cl)c2)N2CCN(CC3=C(CC(C)(C)CC3)c3ccc(Cl)cc3)CC2)CC1,Ki, 0.005,nM,387920,,,False
CN(C)CCOc1cccc(c1CN1CCN(CC1)c1ccc(C(=O)NS(=O)(=O)c2ccc(NC3CCN(C)CC3)c(c2)[N+]([O-])=O)c(Oc2cccc3[nH]ccc23)c1)-c1ccc(Cl)cc1,Ki, 0.005,nM,324914,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(NC4CCN(CC4)C4CC4)c(Cl)c3)c(Oc3cccc4[nH]ncc34)c2)=C(C1)c1ccc(Cl)cc1 |c:58|,Ki, 0.005,nM,325151,,,False
CN(C)CCOc1ccc(c(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC4CCN(C)CC4)c(c3)[N+]([O-])=O)c(Oc3cccc(Cl)c3)c2)c1)-c1ccc(Cl)cc1,Ki, 0.005,nM,281370,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4CCOCC4)c(Br)c3)c(Oc3cccc4[nH]ccc34)c2)=C(C1)c1ccc(Cl)cc1 |c:55|,Ki, 0.006,nM,325068,,,False
"COC1CCC(COc2ncc(cc2Cl)S(=O)(=O)NC(=O)c2ccc(cc2Oc2cccc3[nH]ncc23)N2CCN(CC3=C(CC(C)(C)CC3)c3ccc(Cl)cc3)CC2)CC1 |t:46,(17.62,-8.45,;16.29,-9.22,;14.96,-8.45,;14.96,-6.91,;13.62,-6.14,;12.29,-6.91,;10.96,-6.14,;9.62,-6.91,;8.29,-6.14,;6.95,-6.91,;5.62,-6.14,;5.62,-4.6,;6.95,-3.83,;8.29,-4.6,;9.62,-3.83,;4.29,-3.83,;5.06,-2.5,;3.52,-5.17,;2.95,-3.06,;1.62,-3.83,;1.62,-5.37,;.29,-3.06,;-1.05,-3.83,;-2.38,-3.06,;-2.38,-1.52,;-1.05,-.75,;.29,-1.52,;1.62,-.75,;1.62,.79,;2.95,1.56,;2.95,3.1,;1.62,3.87,;.29,3.1,;-1.18,3.57,;-2.08,2.33,;-1.18,1.08,;.29,1.56,;-3.71,-.75,;-5.05,-1.52,;-6.38,-.75,;-6.38,.79,;-7.72,1.56,;-7.72,3.1,;-9.05,3.87,;-9.05,5.41,;-7.72,6.18,;-8.44,7.54,;-6.99,7.54,;-6.38,5.41,;-6.38,3.87,;-10.38,3.1,;-10.38,1.56,;-11.72,.79,;-13.05,1.56,;-14.38,.79,;-13.05,3.1,;-11.72,3.87,;-5.05,1.56,;-3.71,.79,;12.29,-8.45,;13.62,-9.22,)|",Ki, 0.007,nM,325117,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4CCC(F)(F)CC4)c(Cl)c3)c(Oc3cccc4[nH]cnc34)c2)=C(C1)c1ccc(Cl)cc1 |c:57|,Ki, 0.007,nM,325166,,,False
