BindingDB_ID,smiles,value,standard_type,pIC50,CuratedSmiles,IsSalt,FailedSanit
50033907,CC12CCC3C(CCC4=CCCCC34C)C1C[C@H](Br)C2=O,5900.0,IC50(nM),5.229147988357856,CC12CCC3C(CCC4=CCCCC43C)C1C[C@H](Br)C2=O,False,False
50650035,CC12CCC3C(CCC4=CCCCC34C(F)F)C1CCC2=O,1200.0,IC50(nM),5.920818753952375,CC12CCC3C(CCC4=CCCCC43C(F)F)C1CCC2=O,False,False
50017408,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C3CS3)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C3CS3)C1CCC2=O,False,False
50017407,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]34C3CS3)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]43C3CS3)C1CCC2=O,False,False
50017403,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]34C3CO3)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]43C3CO3)C1CCC2=O,False,False
50017405,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C3CO3)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C3CO3)C1CCC2=O,False,False
50017736,C[C@]12CCC3C(CCC4=CC(=O)[C@H]5C[C@@H](O)[C@@]34C5)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)[C@H]5C[C@@H](O)[C@]43C5)C1CCC2=O,False,False
50017737,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C(=O)CBr)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C(=O)CBr)C1CCC2=O,False,False
50017738,C[C@]12CCC3C(CCC4=CC(=O)[C@H]5C[C@H](O)[C@@]34C5)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)[C@H]5C[C@H](O)[C@]43C5)C1CCC2=O,False,False
50017739,C[C@]12CCC3C(CCC4=CC(=O)[C@H]5CC[C@@]34C5)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)[C@H]5CC[C@]43C5)C1CCC2=O,False,False
50017740,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C(O)CBr)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C(O)CBr)C1CCC2=O,False,False
50017741,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C(O)CCl)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C(O)CCl)C1CCC2=O,False,False
50017743,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C(O)CI)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C(O)CI)C1CCC2=O,False,False
50754262,C[C@]12CCC3C(CCC4=CC(=O)C(C)(C)C[C@]34C)C1CCC2=O,,IC50(nM),,CC1(C)C[C@@]2(C)C(=CC1=O)CCC1C2CC[C@]2(C)C(=O)CCC12,False,False
50754264,C[C@@]12CCCC1C1CCC3=CC(=O)C=C[C@]3(C)C1CC2,,IC50(nM),,C[C@@]12CCCC1C1CCC3=CC(=O)C=C[C@]3(C)C1CC2,False,False
50754269,C[C@]12CCC3C(CCC4=CC(=C)CC[C@]34C)C1CCC2=O,,IC50(nM),,C=C1C=C2CCC3C(CC[C@]4(C)C(=O)CCC34)[C@@]2(C)CC1,False,False
50754275,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C(F)F)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C(F)F)C1CCC2=O,False,False
50754279,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C=C)C1CCC2=O,,IC50(nM),,C=C[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,False,False
50754278,CC[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CCC21,,IC50(nM),,CC[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,False,False
50754281,C\C=C\[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CCC21,,IC50(nM),,C/C=C/[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,False,False
50754291,CCC[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CCC21,,IC50(nM),,CCC[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,False,False
50752156,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34CS)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43CS)C1CCC2=O,False,False
50752157,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34S)C1CC[C@@H]2O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43S)C1CC[C@@H]2O,False,False
50752158,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34S)C1CCC2=O,,IC50(nM),,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43S)C1CCC2=O,False,False
50752582,CC(=O)C1(C)CCC2C(CCC3=CC(=O)C=CC23C)C1,,IC50(nM),,CC(=O)C1(C)CCC2C(CCC3=CC(=O)C=CC32C)C1,False,False
50752588,CC12CCCC1C1CCC3=CC(=O)C=CC3(C)C1CC2,,IC50(nM),,CC12CCCC1C1CCC3=CC(=O)C=CC3(C)C1CC2,False,False
50752585,CCC(=O)C1(C)CCC2C(CCC3=CC(=O)C=CC23C)C1,,IC50(nM),,CCC(=O)C1(C)CCC2C(CCC3=CC(=O)C=CC32C)C1,False,False
50752590,CC1(CCC2C(CCC3=CC(=O)C=CC23C)C1)C=O,,IC50(nM),,CC1(C=O)CCC2C(CCC3=CC(=O)C=CC32C)C1,False,False
50049005,CC12CCC3C(C1CCC2=O)[C@@H](CCc1ccccc1)CC1=CC(=O)CCC31C,,IC50(nM),,CC12CCC3C(C1CCC2=O)[C@@H](CCc1ccccc1)CC1=CC(=O)CCC13C,False,False
50049007,CC12CCC3C(C1CC[C@@H]2O)[C@H](CCc1ccccc1)CC1=CC(=O)CCC31C,,IC50(nM),,CC12CCC(=O)C=C1C[C@@H](CCc1ccccc1)C1C2CCC2(C)C1CC[C@@H]2O,False,False
