smiles,standard_type,mean,std,sem,n,n_outliers,BindingDB_IDs
CC(=O)N1N=C(CC1c1ccc(OS(N)(=O)=O)cc1)c1ccc(cc1)[N+]([O-])=O,Ki (nM),15.0,0.0,0.0,1,0,51262605
CC(=O)N1N=C(CC1c1ccc(OS(N)(=O)=O)cc1)c1ccccc1,Ki (nM),45.0,0.0,0.0,1,0,51262665
CC(=O)N1N=C(CC1c1ccc(cc1)C(F)(F)F)c1ccc(OS(N)(=O)=O)cc1,Ki (nM),22.0,7.0,4.949747468305833,2,0,51262608;51530290
CC(=O)N1N=C(CC1c1ccc(cc1)C(F)(F)F)c1cccc(OS(N)(=O)=O)c1,Ki (nM),3.7,0.0,0.0,1,0,51262708
CC(=O)N1N=C(CC1c1ccc(cc1)[N+]([O-])=O)c1ccc(OS(N)(=O)=O)cc1,Ki (nM),44.5,29.5,20.85965004500315,2,0,51262726;51530291
CC(=O)N1N=C(CC1c1ccc(cc1)[N+]([O-])=O)c1cccc(OS(N)(=O)=O)c1,Ki (nM),10.0,0.0,0.0,1,0,51262729
CC(=O)N1N=C(CC1c1cccc(Cl)c1)c1ccc(OS(N)(=O)=O)cc1,Ki (nM),0.72,0.0,0.0,1,0,51262655
CC(=O)N1N=C(CC1c1cccc(Cl)c1)c1cccc(OS(N)(=O)=O)c1,Ki (nM),7.3,0.0,0.0,1,0,51262604
CC(=O)N1N=C(CC1c1cccc(OS(N)(=O)=O)c1)c1ccc(C)cc1,Ki (nM),8.9,0.0,0.0,1,0,51262733
CC(=O)N1N=C(CC1c1cccc(OS(N)(=O)=O)c1)c1ccc(Cl)c(Cl)c1,Ki (nM),16.0,0.0,0.0,1,0,51262734
CC(=O)N1N=C(CC1c1cccc(OS(N)(=O)=O)c1)c1ccc(Cl)cc1,Ki (nM),0.81,0.0,0.0,1,0,51262606
CC(=O)N1N=C(CC1c1cccc(OS(N)(=O)=O)c1)c1ccc(Cl)cc1Cl,Ki (nM),49.0,0.0,0.0,1,0,51262672
CC(=O)N1N=C(CC1c1cccc(OS(N)(=O)=O)c1)c1ccc(F)cc1,Ki (nM),15.5,0.5,0.35355339059327373,2,0,51262671;51530295
CC(=O)N1N=C(CC1c1cccc(OS(N)(=O)=O)c1)c1ccc(cc1)[N+]([O-])=O,Ki (nM),9.4,0.0,0.0,1,0,51262670
CC(=O)N1N=C(CC1c1cccc(OS(N)(=O)=O)c1)c1ccccc1,Ki (nM),13.0,0.0,0.0,1,0,51262669
CC(=O)N1N=C(CC1c1cccc2ccccc12)c1ccc(OS(N)(=O)=O)cc1,Ki (nM),49.0,0.0,0.0,1,0,51262609
CC(=O)N1N=C(CC1c1cccc2ccccc12)c1cccc(OS(N)(=O)=O)c1,Ki (nM),51.0,0.0,0.0,1,0,51262731
CC(=O)N1N=C(CC1c1ccccc1)c1ccc(OS(N)(=O)=O)cc1,Ki (nM),24.5,9.5,6.717514421272201,2,0,51262651;51530289
CC(=O)N1N=C(CC1c1ccccc1)c1cccc(OS(N)(=O)=O)c1,Ki (nM),30.0,0.0,0.0,1,0,51262728
CC(=O)N1N=C(CC1c1ccccc1Cl)c1ccc(OS(N)(=O)=O)cc1,Ki (nM),20.5,5.5,3.8890872965260113,2,0,51262716;51530292
CC(=O)N1N=C(CC1c1ccccc1Cl)c1cccc(OS(N)(=O)=O)c1,Ki (nM),44.0,0.0,0.0,1,0,51262661
CC(=O)N=c1sc(nn1C)S(N)(=O)=O,Ki (nM),844.3636363636364,4623.706959744181,804.8840693783133,33,0,50248958;50305875;50308759;50314602;50321140;50351925;50582114;50597373;50655974;50740273;50740811;50741435;50741933;50742850;50743061;50812092;50822693;50823088;50823313;50824118;50824447;50824675;50824950;50835365;50842431;50845426;50848991;50851959;50857356;50861640;50866615;50868865;50879873
CC(=O)NC1CCCN(C1)C([S-])=S,Ki (nM),9.5,0.0,0.0,1,0,50305131
CC(=O)NC1CCc2cc(ccc12)S(N)(=O)=O,Ki (nM),193.0,0.0,0.0,1,0,18953
CC(=O)NC1Cc2ccc(cc2C1)S(N)(=O)=O,Ki (nM),290.0,0.0,0.0,1,0,18954
CC(=O)NCCNc1cccc2ccccc12,Ki (nM),12200.0,0.0,0.0,1,0,50589107
CC(=O)NNc1ccccc1S(N)(=O)=O,Ki (nM),175.0,0.0,0.0,1,0,21988
CC(=O)NS(=O)(=O)c1ccc(Nc2ccnc(SCC(=O)c3ccc(Cl)cc3)n2)cc1,Ki (nM),,,,0,0,51346842
CC(=O)NS(=O)(=O)c1ccc(cc1)C1=NN(C(O1)c1ccc(C)cc1)C(C)=O,Ki (nM),502.0,0.0,0.0,1,0,50909226
CC(=O)NS(=O)(=O)c1ccc(cc1)C1=NN(C(O1)c1ccc(Cl)cc1)C(C)=O,Ki (nM),502.0,0.0,0.0,1,0,50909835
CC(=O)NS(=O)(=O)c1ccc(cc1)C1=NN(C(O1)c1ccc(Cl)cc1Cl)C(C)=O,Ki (nM),25.333333333333332,1.247219128924647,0.7200822998230956,3,0,50909388;50909468;50909469
CC(=O)NS(=O)(=O)c1ccc(cc1)C1=NN(C(O1)c1ccc(F)cc1)C(C)=O,Ki (nM),44.0,0.0,0.0,1,0,50909389
CC(=O)NS(=O)(=O)c1ccc(cc1)C1=NN(C(O1)c1ccc(F)cc1F)C(C)=O,Ki (nM),373.0,0.0,0.0,1,0,50909466
CC(=O)NS(=O)(=O)c1ccc(cc1)C1=NN(C(O1)c1ccc(cc1)C(F)(F)F)C(C)=O,Ki (nM),468.0,0.0,0.0,1,0,50909213
CC(=O)NS(=O)(=O)c1ccc(cc1)C1=NN(C(O1)c1ccc(cc1)[N+]([O-])=O)C(C)=O,Ki (nM),33.0,0.0,0.0,1,0,50909401
CC(=O)NS(=O)(=O)c1ccc(cc1)C1=NN(C(O1)c1cccc(c1)[N+]([O-])=O)C(C)=O,Ki (nM),44.0,0.0,0.0,1,0,50909464
CC(=O)NS(=O)(=O)c1ccc(cc1)C1=NN(C(O1)c1ccccc1C)C(C)=O,Ki (nM),489.0,0.0,0.0,1,0,50909206
CC(=O)NS(=O)(=O)c1ccc(cc1)C1=NN(C(O1)c1ccccc1[N+]([O-])=O)C(C)=O,Ki (nM),159.0,0.0,0.0,1,0,50909426
